Entity,Source System,Table Name,Column Name,Data Type,Required,Unique,Description,Value Example,Primary Key,Foreign Key,Foreign Key Table,Foreign Key Column
Ordershipment,op,OrderShipments,TrackingNumber,VARCHAR,Y,N,Description for TrackingNumber,ZP0L3WZB2DA6M66X,N,N,N/A,N/A
Ordershipment,op,OrderShipments,OrderShipDate,DATE,Y,N,Description for OrderShipDate,2020-12-08,N,N,N/A,N/A
Item,im,Items,ItemID,INT,Y,N,Description for ItemID,1881,Y,N,N/A,N/A
Item,im,Items,ItemName,VARCHAR,Y,N,Description for ItemName,Birgit,N,N,N/A,N/A
Item,im,Items,SellerID,INT,Y,N,Description for SellerID,29694,N,N,N/A,N/A
Item,im,Items,Type,VARCHAR,Y,N,Description for Type,Dress,N,N,N/A,N/A
Item,im,Items,BrandName,VARCHAR,Y,N,Description for BrandName,Bostonian,N,N,N/A,N/A
Item,im,Items,Color,VARCHAR,Y,N,Description for Color,white,N,N,N/A,N/A
Item,im,Items,Size,VARCHAR,Y,N,Description for Size,2,N,N,N/A,N/A
Item,im,Items,Sex,VARCHAR,Y,N,Description for Sex,Male,N,N,N/A,N/A
Item,im,Items,Condition,VARCHAR,Y,N,Description for Condition,new,N,N,N/A,N/A
Item,im,Items,ItemStatus,VARCHAR,Y,N,Description for ItemStatus,approved,N,N,N/A,N/A
Item,im,Items,ArrivalDate,DATE,Y,N,Description for ArrivalDate,2020-10-27,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,ID,INT,Y,N,Description for ID,442430,Y,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,UserID,INT,Y,N,Description for UserID,58868,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,FirstName,VARCHAR,Y,N,Description for FirstName,Everedd,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,LastName,VARCHAR,Y,N,Description for LastName,Bjerkmes,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,ContactReason,VARCHAR,Y,N,Description for ContactReason,Mischarge,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,Email,VARCHAR,Y,N,Description for Email,NULL,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,Phone,VARCHAR,Y,N,Description for Phone,NULL,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,OrderID,INT,Y,N,Description for OrderID,17358,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,Resolution,VARCHAR,Y,N,Description for Resolution,Created Return,N,N,N/A,N/A
Customerservicerequest,cs,CustomerServiceRequests,ContactMethod,VARCHAR,Y,N,Description for ContactMethod,Phone,N,N,N/A,N/A
